canonical_work_id,source_parliament,source_dataset,source_row_id,matched_dataset,matched_row_id,official_work_id,match_method,match_score,confidence_level,review_status
CW_000001,lok_sabha,completed,92,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,95,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,97,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,99,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,101,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,90,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,96,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,94,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,100,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,85,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,91,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,93,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,103,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,98,expenditure,1106,WS/MP18152/2026-2027/274264,exact_multi_field,98.0,HIGH,auto_matched
CW_000001,lok_sabha,completed,102,expenditure,1106,WS/MP18152/2026-2027/274264,fuzzy_multi_field,90.18,HIGH,auto_matched
CW_000002,lok_sabha,completed,135,expenditure,1216,WS/MP18153/2025-2026/212832,fuzzy_multi_field,85.35,HIGH,auto_matched
CW_000001,lok_sabha,completed,104,expenditure,1106,WS/MP18152/2026-2027/274264,fuzzy_multi_field,90.18,HIGH,auto_matched
